textID,text,selected_text,sentiment
cb774db0d1, id have responded if i were going,id have responded if i were going,neutral
549e992a42, sooo sad i will miss you here in san diego,sooo sad,negative
088c60f138,my boss is bullying me,bullying me,negative
9642c003ef, what interview leave me alone,leave me alone,negative
358bd9e861, sons of  why couldnt they put them on the releases we already bought,sons of ,negative
28b57f3990,httpwwwdothebouncycomsmf  some shameless plugging for the best rangers forum on earth,httpwwwdothebouncycomsmf  some shameless plugging for the best rangers forum on earth,neutral
6e0c6d75b1,2am feedings for the baby are fun when he is all smiles and coos,fun,positive
50e14c0bb8,soooo high,soooo high,neutral
e050245fbd, both of you,both of you,neutral
fc2cbefa9d, journey wow u just became cooler  hehe is that possible,wow u just became cooler,positive
2339a9b08b, as much as i love to be hopeful i reckon the chances are minimal p im never gonna get my cake and stuff,as much as i love to be hopeful i reckon the chances are minimal p im never gonna get my cake and stuff,neutral
16fab9f95b,i really really like the song love story by taylor swift,like,positive
74a76f6e0a,my sharpie is running dangerously low on ink,dangerously,negative
04dd1d2e34,i want to go to music tonight but i lost my voice,lost,negative
bbe3cbf620,test test from the lg env2,test test from the lg env2,neutral
8a939bfb59,uh oh i am sunburned,uh oh i am sunburned,negative
3440297f8b, sok trying to plot alternatives as we speak sigh,sigh,negative
919fa93391,ive been sick for the past few days  and thus my hair looks wierd  if i didnt have a hat on it would look httptinyurlcommnf4kw,sick,negative
af3fed7fc3,is back home now      gonna miss every one,onna,negative
40e7becabf,hes just not that into you,hes just not that into you,neutral
04d17ef61e, oh marly im so sorry  i hope you find her soon 3 3,oh marly im so sorry  i hope you find her soon 3 3,neutral
e48b0b8a23,playing ghost online is really interesting the new updates are kirin pet and metamorph for third job  cant wait to have a dragon pet,interesting,positive
7de057cf40,is cleaning the house for her family who is comming later today,is cleaning the house for her family who is comming later today,neutral
9ce5570064,gotta restart my computer  i thought win7 was supposed to put an end to the constant rebootiness,gotta restart my computer  i thought win7 was supposed to put an end to the constant rebootiness,neutral
0c8cc71c46,see wat i mean bout foll0w friidays its called lose f0llowers friday smh,see wat i mean bout foll0w friidays its called lose f0llowers friday smh,neutral
e00c6ef376,the free fillin app on my ipod is fun im addicted,the free fillin app on my ipod is fun im addicted,positive
852edc3769,  im sorry,im sorry,negative
bdc32ea43c,on the way to malaysiano internet access to twit,no internet,negative
6ce4a4954b,juss came backk from berkeleyy  omg its madd fun out there  havent been out there in a minute  whassqoodd ,fun,positive
